{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.03124, 'M1': 0.1, 'r2': 0.526}
{'delta': 0.03124, 'M1': 0.1, 'r2': 0.526}
{'delta': 0.03124, 'M1': 0.1, 'r2': 0.526}
{'delta': 0.03124, 'M1': 0.1, 'r2': 0.526}
{'delta': 0.03124, 'M1': 0.1, 'r2': 0.526}
{'delta': 0.03124, 'M1': 0.1, 'r2': 0.526}
{'delta': 0.03124, 'M1': 0.1, 'r2': 0.526}
{'delta': 0.03124, 'M1': 0.1, 'r2': 0.526}
